

!! n20w20.001    16.75 391


CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
    9       9.00      38.00       0.00      46.00      68.00       0.00
   10      11.00      33.00       0.00      76.00     102.00       0.00
   11       4.00      48.00       0.00     193.00     222.00       0.00
   12      36.00       3.00       0.00     143.00     160.00       0.00
   13      36.00       6.00       0.00     351.00     374.00       0.00
   14      35.00      46.00       0.00      23.00      38.00       0.00
   15      35.00      15.00       0.00     118.00     149.00       0.00
   16      36.00      17.00       0.00     110.00     141.00       0.00
   17       9.00      28.00       0.00      46.00      85.00       0.00
   18      34.00       9.00       0.00     127.00     142.00       0.00
   19       1.00       0.00       0.00     242.00     268.00       0.00
   20      49.00      40.00       0.00       2.00      26.00       0.00
   21      24.00      44.00       0.00     292.00     305.00       0.00
  999       0.00       0.00       0.00       0.00       0.00       0.00


!! n20w20.004    20.20 404


CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME


    1      35.00      21.00       0.00       0.00     408.00       0.00
    2       4.00      16.00       0.00     369.00     377.00       0.00
    3      21.00      29.00       0.00      10.00      41.00       0.00
    4      35.00      26.00       0.00       4.00      23.00       0.00
    5      44.00       4.00       0.00     166.00     183.00       0.00
    6       4.00      12.00       0.00     115.00     126.00       0.00
    7      14.00       1.00       0.00     117.00     142.00       0.00
    8      22.00      31.00       0.00      43.00      68.00       0.00
    9       3.00      24.00       0.00      91.00     115.00       0.00
   10      19.00      45.00       0.00      67.00      92.00       0.00
   11      24.00      11.00       0.00     134.00     151.00       0.00
   12      39.00      17.00       0.00       0.00      19.00       0.00
   13      39.00      25.00       0.00     179.00     203.00       0.00
   14      25.00       2.00       0.00     264.00     275.00       0.00
   15      32.00       7.00       0.00     150.00     176.00       0.00
   16      30.00      43.00       0.00      55.00      84.00       0.00
   17      46.00      43.00       0.00     212.00     240.00       0.00
   18      45.00      49.00       0.00     318.00     324.00       0.00
   19      36.00      48.00       0.00     200.00     233.00       0.00
   20      18.00      17.00       0.00      26.00      48.00       0.00
   21      40.00      29.00       0.00     298.00     302.00       0.00
  999       0.00       0.00       0.00       0.00       0.00       0.00


!! n20w20.005    18.60 369


CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME


    1      22.00      39.00       0.00       0.00     375.00       0.00
    2       7.00      16.00       0.00     276.00     297.00       0.00
    3      28.00      18.00       0.00     125.00     156.00       0.00
    4       2.00      21.00       0.00     107.00     127.00       0.00
    5      35.00      23.00       0.00     141.00     169.00       0.00
    6      31.00      18.00       0.00     143.00     165.00       0.00
    7      47.00      39.00       0.00     219.00     231.00       0.00
    8       7.00      46.00       0.00      19.00      40.00       0.00
    9       8.00      15.00       0.00      88.00     109.00       0.00
   10      42.00      33.00       0.00     173.00     185.00       0.00
   11      32.00      21.00       0.00     133.00     155.00       0.00
   12      16.00      34.00       0.00       2.00      21.00       0.00
   13      47.00       0.00       0.00     306.00     329.00       0.00
   14      18.00      28.00       0.00      84.00      99.00       0.00
   15      36.00      18.00       0.00     198.00     219.00       0.00
   16      46.00      20.00       0.00     170.00     184.00       0.00
   17       0.00      37.00       0.00      57.00      67.00       0.00
   18      15.00      10.00       0.00     126.00     142.00       0.00
   19       3.00      26.00       0.00      43.00      55.00       0.00
   20      21.00      28.00       0.00       3.00      20.00       0.00
   21       4.00      26.00       0.00     268.00     283.00       0.00
  999       0.00       0.00       0.00       0.00       0.00       0.00


!! n20w40.001    37.90 293


CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME


    1       4.00      30.00       0.00       0.00     295.00       0.00
    2      33.00      11.00       0.00      91.00     133.00       0.00
    3      17.00      41.00       0.00     138.00     197.00       0.00
    4      42.00      35.00       0.00     182.00     225.00       0.00
    5      11.00      10.00       0.00      74.00      87.00       0.00
    6      12.00      34.00       0.00       0.00      51.00       0.00
    7      15.00      28.00       0.00       0.00      26.00       0.00
    8       2.00       4.00       0.00      53.00     105.00       0.00
    9      15.00      21.00       0.00      46.00      90.00       0.00
   10      29.00      45.00       0.00     162.00     205.00       0.00
   11      40.00      37.00       0.00     244.00     258.00       0.00
   12      16.00      26.00       0.00      27.00      43.00       0.00
   13      17.00      11.00       0.00     119.00     152.00       0.00
   14      12.00      39.00       0.00       5.00      56.00       0.00
   15      32.00      19.00       0.00     196.00     239.00       0.00
   16      30.00      47.00       0.00     155.00     213.00       0.00
   17      36.00      41.00       0.00     167.00     214.00       0.00
   18      16.00      37.00       0.00       0.00      54.00       0.00
   19      33.00      47.00       0.00     180.00     183.00       0.00
   20      27.00      23.00       0.00      40.00      72.00       0.00
   21      28.00      29.00       0.00     224.00     258.00       0.00
  999       0.00       0.00       0.00       0.00       0.00       0.00


!! n20w40.002    32.75 358


CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME


    1      35.00      41.00       0.00       0.00     386.00       0.00
    2      16.00       8.00       0.00      95.00     123.00       0.00
    3       8.00      31.00       0.00     203.00     260.00       0.00
    4      13.00      44.00       0.00     331.00     364.00       0.00
    5      26.00      22.00       0.00      24.00      49.00       0.00
    6      31.00       7.00       0.00     129.00     152.00       0.00
    7      18.00      43.00       0.00      54.00      89.00       0.00
    8       8.00       2.00       0.00     102.00     133.00       0.00
    9      37.00      36.00       0.00     167.00     212.00       0.00
   10       6.00      46.00       0.00     252.00     267.00       0.00
   11      39.00      37.00       0.00       1.00       9.00       0.00
   12      40.00      11.00       0.00     172.00     208.00       0.00
   13       4.00       5.00       0.00     262.00     300.00       0.00
   14       4.00      10.00       0.00      75.00     129.00       0.00
   15       8.00      27.00       0.00      65.00      89.00       0.00
   16      32.00      28.00       0.00       0.00      41.00       0.00
   17      24.00      30.00       0.00      10.00      55.00       0.00
   18      35.00      24.00       0.00      17.00      66.00       0.00
   19      15.00      34.00       0.00      67.00      86.00       0.00
   20      50.00      23.00       0.00     144.00     163.00       0.00
   21      14.00      17.00       0.00     301.00     331.00       0.00
  999       0.00       0.00       0.00       0.00       0.00       0.00


!! n20w40.003    37.40 363


CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME


    1      42.00      26.00       0.00       0.00     372.00       0.00
    2       4.00      11.00       0.00     198.00     242.00       0.00
    3       3.00       1.00       0.00     278.00     316.00       0.00
    4      41.00      13.00       0.00      59.00     105.00       0.00
    5      19.00      34.00       0.00     150.00     202.00       0.00
    6       5.00      35.00       0.00     244.00     253.00       0.00
    7      29.00      19.00       0.00     142.00     166.00       0.00
    8      40.00      49.00       0.00      13.00      57.00       0.00
    9      36.00      34.00       0.00      97.00     163.00       0.00
   10      39.00      31.00       0.00       4.00      19.00       0.00
   11      44.00       5.00       0.00      73.00      98.00       0.00
   12      49.00      30.00       0.00       0.00      22.00       0.00
   13       6.00      35.00       0.00     156.00     191.00       0.00
   14      33.00      13.00       0.00      78.00     102.00       0.00
   15      35.00      37.00       0.00       9.00      36.00       0.00
   16      43.00       9.00       0.00      74.00     136.00       0.00
   17       1.00      25.00       0.00     182.00     231.00       0.00
   18      48.00      31.00       0.00      57.00      87.00       0.00
   19      15.00      41.00       0.00     300.00     341.00       0.00
   20      18.00      15.00       0.00     209.00     242.00       0.00
   21      16.00      21.00       0.00     236.00     298.00       0.00
  999       0.00       0.00       0.00       0.00       0.00       0.00


!! n20w40.004    38.45 404


CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME


    1       9.00      42.00       0.00       0.00     407.00       0.00
    2       2.00      12.00       0.00      10.00      45.00       0.00
    3      40.00       6.00       0.00     203.00     269.00       0.00
    4      37.00      30.00       0.00     111.00     150.00       0.00
    5       6.00      19.00       0.00      35.00      99.00       0.00
    6       1.00      20.00       0.00      16.00      64.00       0.00
    7      19.00      16.00       0.00     137.00     193.00       0.00
    8      19.00      18.00       0.00      65.00      74.00       0.00
    9      34.00      29.00       0.00     114.00     189.00       0.00
   10      47.00       6.00       0.00     317.00     355.00       0.00
   11      11.00      16.00       0.00      74.00     122.00       0.00
   12      24.00      29.00       0.00      98.00     108.00       0.00
   13      48.00      23.00       0.00      99.00     151.00       0.00
   14       2.00      45.00       0.00       0.00      11.00       0.00
   15      47.00      31.00       0.00     261.00     291.00       0.00
   16      34.00      32.00       0.00      88.00     126.00       0.00
   17       1.00      33.00       0.00     190.00     221.00       0.00
   18      13.00      22.00       0.00      48.00      70.00       0.00
   19       9.00       9.00       0.00      34.00      65.00       0.00
   20      34.00      24.00       0.00     112.00     152.00       0.00
   21      12.00      40.00       0.00     278.00     304.00       0.00
  999       0.00       0.00       0.00       0.00       0.00       0.00


!! n20w40.005    33.45 331


CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME


    1      17.00       7.00       0.00       0.00     334.00       0.00
    2      48.00       3.00       0.00     154.00     183.00       0.00
    3      27.00      39.00       0.00      69.00     110.00       0.00
    4      45.00       3.00       0.00     205.00     275.00       0.00
    5       9.00      37.00       0.00     272.00     303.00       0.00
    6      46.00      33.00       0.00     107.00     150.00       0.00
    7       2.00      25.00       0.00      16.00      29.00       0.00
    8      14.00      33.00       0.00       2.00      55.00       0.00
    9       1.00      45.00       0.00      19.00      81.00       0.00
   10      38.00      36.00       0.00      86.00     104.00       0.00
   11      25.00      26.00       0.00     305.00     311.00       0.00
   12      18.00      10.00       0.00     189.00     247.00       0.00
   13      45.00      31.00       0.00      95.00     145.00       0.00
   14      42.00      35.00       0.00      88.00     106.00       0.00
   15      39.00       5.00       0.00     168.00     187.00       0.00
   16      17.00      10.00       0.00       0.00      15.00       0.00
   17       8.00      41.00       0.00      30.00      65.00       0.00
   18      29.00      39.00       0.00     102.00     126.00       0.00
   19      43.00      32.00       0.00      97.00     137.00       0.00
   20      11.00      17.00       0.00       0.00      29.00       0.00
   21      38.00      23.00       0.00     250.00     265.00       0.00
  999       0.00       0.00       0.00       0.00       0.00       0.00


!! n20w60.001    63.75 410


CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME


    1      33.00      11.00       0.00       0.00     436.00       0.00
    2      34.00      26.00       0.00       0.00      74.00       0.00
    3      27.00       5.00       0.00     205.00     257.00       0.00
    4      45.00      41.00       0.00      19.00      87.00       0.00
    5      42.00      27.00       0.00      22.00      67.00       0.00
    6      40.00      25.00       0.00      29.00     103.00       0.00
    7      41.00      46.00       0.00      48.00      76.00       0.00
    8      37.00      40.00       0.00       2.00      92.00       0.00
    9       9.00      33.00       0.00     212.00     257.00       0.00
   10       5.00       5.00       0.00     154.00     236.00       0.00
   11      40.00      13.00       0.00       0.00      22.00       0.00
   12      47.00      26.00       0.00       0.00      79.00       0.00
   13       9.00       8.00       0.00     120.00     222.00       0.00
   14      30.00      13.00       0.00      84.00     120.00       0.00
   15      49.00      22.00       0.00      53.00     155.00       0.00
   16       9.00      19.00       0.00     151.00     182.00       0.00
   17      42.00      10.00       0.00      89.00     182.00       0.00
   18      44.00      43.00       0.00     319.00     351.00       0.00
   19       2.00      36.00       0.00     322.00     396.00       0.00
   20      32.00      18.00       0.00       0.00      60.00       0.00
   21       3.00      19.00       0.00     245.00     331.00       0.00
  999       0.00       0.00       0.00       0.00       0.00       0.00


!! n20w60.002    47.45 308


CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME


    1      41.00      40.00       0.00       0.00     321.00       0.00
    2      44.00       9.00       0.00      40.00      46.00       0.00
    3      17.00      42.00       0.00     247.00     297.00       0.00
    4      18.00       4.00       0.00      61.00      89.00       0.00
    5      46.00      36.00       0.00       0.00      56.00       0.00
    6       6.00       5.00       0.00      96.00     125.00       0.00
    7      18.00      45.00       0.00     153.00     212.00       0.00
    8      25.00       0.00       0.00      36.00     112.00       0.00
    9      40.00      14.00       0.00       0.00      82.00       0.00
   10       4.00      20.00       0.00     107.00     139.00       0.00
   11      22.00       4.00       0.00      75.00     141.00       0.00
   12       5.00      31.00       0.00     156.00     204.00       0.00
   13      34.00      16.00       0.00      12.00      75.00       0.00
   14      44.00      30.00       0.00     251.00     301.00       0.00
   15      20.00      35.00       0.00     154.00     196.00       0.00
   16      29.00       7.00       0.00      41.00      77.00       0.00
   17      36.00      17.00       0.00     191.00     243.00       0.00
   18      20.00       6.00       0.00      68.00     129.00       0.00
   19      49.00      32.00       0.00       0.00      41.00       0.00
   20      41.00      37.00       0.00       0.00      12.00       0.00
   21      31.00      10.00       0.00     227.00     287.00       0.00
  999       0.00       0.00       0.00       0.00       0.00       0.00


!! n20w60.003    47.30 387


CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME


    1      13.00       4.00       0.00       0.00     406.00       0.00
    2      45.00      41.00       0.00     200.00     241.00       0.00
    3      47.00      46.00       0.00     110.00     137.00       0.00
    4      39.00      30.00       0.00     102.00     145.00       0.00
    5      45.00      38.00       0.00      93.00     133.00       0.00
    6      30.00      29.00       0.00      62.00      96.00       0.00
    7      46.00      10.00       0.00     317.00     372.00       0.00
    8      28.00      17.00       0.00       0.00      58.00       0.00
    9      21.00      46.00       0.00      50.00      96.00       0.00
   10      16.00      42.00       0.00      37.00     108.00       0.00
   11      16.00       1.00       0.00       0.00      41.00       0.00
   12      22.00       4.00       0.00       0.00      23.00       0.00
   13       2.00      39.00       0.00     139.00     189.00       0.00
   14      29.00      43.00       0.00      23.00     113.00       0.00
   15      16.00       4.00       0.00     282.00     298.00       0.00
   16      22.00      32.00       0.00       0.00      46.00       0.00
   17      45.00       7.00       0.00     252.00     283.00       0.00
   18      26.00      45.00       0.00      20.00      67.00       0.00
   19      26.00      46.00       0.00     105.00     218.00       0.00
   20      40.00       3.00       0.00     254.00     283.00       0.00
   21      33.00      35.00       0.00     323.00     368.00       0.00
  999       0.00       0.00       0.00       0.00       0.00       0.00


!! n20w60.004    62.55 341


CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME


    1       2.00      10.00       0.00       0.00     376.00       0.00
    2      27.00      11.00       0.00      34.00     118.00       0.00
    3      11.00      34.00       0.00     189.00     230.00       0.00
    4       2.00      14.00       0.00       7.00      41.00       0.00
    5      10.00      41.00       0.00     305.00     344.00       0.00
    6      26.00      12.00       0.00      20.00      95.00       0.00
    7      25.00      33.00       0.00      87.00     182.00       0.00
    8       9.00      10.00       0.00       0.00      57.00       0.00
    9      24.00      37.00       0.00      80.00     165.00       0.00
   10      27.00      18.00       0.00      24.00      86.00       0.00
   11      31.00      31.00       0.00      72.00     169.00       0.00
   12      13.00       4.00       0.00      29.00      62.00       0.00
   13      19.00       3.00       0.00       0.00      56.00       0.00
   14      40.00       2.00       0.00     129.00     213.00       0.00
   15      27.00      19.00       0.00      63.00     140.00       0.00
   16      38.00       5.00       0.00     241.00     303.00       0.00
   17      22.00      48.00       0.00     103.00     178.00       0.00
   18      24.00       4.00       0.00      46.00      92.00       0.00
   19      37.00      21.00       0.00     106.00     196.00       0.00
   20       5.00      14.00       0.00       0.00      20.00       0.00
   21      23.00      18.00       0.00     278.00     317.00       0.00
  999       0.00       0.00       0.00       0.00       0.00       0.00


!! n20w60.005    61.80 426


CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME


    1      24.00       2.00       0.00       0.00     446.00       0.00
    2      14.00       1.00       0.00       0.00      62.00       0.00
    3      48.00      10.00       0.00     302.00     393.00       0.00
    4       5.00      11.00       0.00      35.00      55.00       0.00
    5      22.00       1.00       0.00      60.00     112.00       0.00
    6      14.00      32.00       0.00     118.00     186.00       0.00
    7      46.00      39.00       0.00     203.00     286.00       0.00
    8       3.00      34.00       0.00     135.00     185.00       0.00
    9      10.00      20.00       0.00       3.00      42.00       0.00
   10      29.00      24.00       0.00     167.00     235.00       0.00
   11      12.00      27.00       0.00     104.00     148.00       0.00
   12      46.00      45.00       0.00     332.00     398.00       0.00
   13      11.00      40.00       0.00     107.00     177.00       0.00
   14      18.00       5.00       0.00       0.00      30.00       0.00
   15      41.00      12.00       0.00      39.00     128.00       0.00
   16      28.00      21.00       0.00      66.00     141.00       0.00
   17       4.00       7.00       0.00       0.00      42.00       0.00
   18       0.00      33.00       0.00     109.00     227.00       0.00
   19      16.00      38.00       0.00     211.00     240.00       0.00
   20      34.00      41.00       0.00     247.00     318.00       0.00
   21       2.00      24.00       0.00     270.00     339.00       0.00
  999       0.00       0.00       0.00       0.00       0.00       0.00


!! n20w80.001    71.85 408


CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME


    1      36.00      15.00       0.00       0.00     441.00       0.00
    2      34.00      48.00       0.00      30.00      89.00       0.00
    3      45.00      36.00       0.00     335.00     348.00       0.00
    4      38.00      15.00       0.00       2.00      66.00       0.00
    5      17.00       1.00       0.00     226.00     298.00       0.00
    6      32.00      38.00       0.00      40.00     118.00       0.00
    7      12.00      10.00       0.00     193.00     271.00       0.00
    8       5.00      39.00       0.00     123.00     224.00       0.00
    9      15.00       2.00       0.00     164.00     250.00       0.00
   10      15.00       3.00       0.00     352.00     417.00       0.00
   11      29.00      43.00       0.00     165.00     218.00       0.00
   12      31.00      45.00       0.00      28.00     115.00       0.00
   13      32.00      26.00       0.00      33.00     128.00       0.00
   14      45.00       1.00       0.00       0.00      75.00       0.00
   15      22.00      45.00       0.00      80.00     162.00       0.00
   16      43.00      37.00       0.00      85.00     163.00       0.00
   17       7.00      26.00       0.00     209.00     307.00       0.00
   18      47.00      48.00       0.00     138.00     173.00       0.00
   19      27.00      28.00       0.00      68.00     129.00       0.00
   20      35.00       4.00       0.00       0.00      67.00       0.00
   21      43.00       1.00       0.00     283.00     373.00       0.00
  999       0.00       0.00       0.00       0.00       0.00       0.00


!! n20w80.002    81.70 415


CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME


    1      16.00      20.00       0.00       0.00     444.00       0.00
    2      17.00      30.00       0.00       0.00      15.00       0.00
    3      34.00       1.00       0.00     345.00     406.00       0.00
    4      42.00       2.00       0.00      22.00     148.00       0.00
    5      33.00      47.00       0.00      95.00     218.00       0.00
    6      35.00       3.00       0.00      81.00     146.00       0.00
    7       8.00       7.00       0.00       0.00      94.00       0.00
    8      49.00      49.00       0.00     206.00     323.00       0.00
    9       3.00      26.00       0.00     275.00     355.00       0.00
   10       3.00      20.00       0.00       0.00      99.00       0.00
   11      48.00      18.00       0.00      38.00     182.00       0.00
   12      46.00      47.00       0.00     159.00     217.00       0.00
   13      18.00      35.00       0.00       0.00      35.00       0.00
   14       6.00      25.00       0.00      23.00      57.00       0.00
   15      40.00      22.00       0.00     148.00     291.00       0.00
   16      27.00      21.00       0.00      54.00     192.00       0.00
   17      16.00      27.00       0.00       0.00      13.00       0.00
   18      28.00       1.00       0.00      67.00     133.00       0.00
   19      16.00      30.00       0.00     139.00     200.00       0.00
   20      34.00      48.00       0.00     133.00     216.00       0.00
   21      44.00      45.00       0.00     327.00     406.00       0.00
  999       0.00       0.00       0.00       0.00       0.00       0.00


!! n20w80.003    75.85 368


CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME


    1      20.00      17.00       0.00       0.00     427.00       0.00
    2       8.00      46.00       0.00     165.00     272.00       0.00
    3      42.00      12.00       0.00      80.00     148.00       0.00
    4       8.00      14.00       0.00       0.00      36.00       0.00
    5      45.00      20.00       0.00      82.00     191.00       0.00
    6      20.00      13.00       0.00     220.00     303.00       0.00
    7      20.00      32.00       0.00     184.00     265.00       0.00
    8      29.00       1.00       0.00     102.00     155.00       0.00
    9      20.00      46.00       0.00     308.00     359.00       0.00
   10      18.00      31.00       0.00       2.00      69.00       0.00
   11      44.00      48.00       0.00       5.00     149.00       0.00
   12      41.00      24.00       0.00      33.00     142.00       0.00
   13      28.00      13.00       0.00     114.00     163.00       0.00
   14      36.00      37.00       0.00       0.00     125.00       0.00
   15      41.00      38.00       0.00      66.00     156.00       0.00
   16      15.00      21.00       0.00       0.00      40.00       0.00
   17      19.00      42.00       0.00      17.00      60.00       0.00
   18      49.00      47.00       0.00     288.00     385.00       0.00
   19      45.00       9.00       0.00     129.00     238.00       0.00
   20      27.00      44.00       0.00      50.00      98.00       0.00
   21      46.00      26.00       0.00     286.00     294.00       0.00
  999       0.00       0.00       0.00       0.00       0.00       0.00


!! n20w80.004    66.05 355


CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME


    1      47.00      16.00       0.00       0.00     433.00       0.00
    2      27.00      50.00       0.00     117.00     215.00       0.00
    3      37.00      36.00       0.00      48.00     120.00       0.00
    4      34.00      21.00       0.00      52.00     120.00       0.00
    5      43.00      38.00       0.00     102.00     141.00       0.00
    6      26.00       5.00       0.00     200.00     241.00       0.00
    7       1.00      16.00       0.00     175.00     233.00       0.00
    8      41.00      34.00       0.00      41.00      96.00       0.00
    9      26.00      23.00       0.00       8.00      90.00       0.00
   10      11.00      47.00       0.00     149.00     235.00       0.00
   11      37.00      14.00       0.00       0.00      26.00       0.00
   12      44.00      33.00       0.00      42.00     120.00       0.00
   13       5.00      17.00       0.00     275.00     391.00       0.00
   14      21.00      37.00       0.00     129.00     168.00       0.00
   15      21.00      49.00       0.00     100.00     206.00       0.00
   16      20.00      43.00       0.00     249.00     306.00       0.00
   17       8.00      29.00       0.00     186.00     236.00       0.00
   18      32.00      20.00       0.00       0.00      55.00       0.00
   19      50.00      12.00       0.00      33.00     120.00       0.00
   20      31.00      36.00       0.00       3.00      73.00       0.00
   21      31.00      40.00       0.00     250.00     288.00       0.00
  999       0.00       0.00       0.00       0.00       0.00       0.00


!! n20w80.005    85.75 322


CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME


    1      20.00      17.00       0.00       0.00     351.00       0.00
    2      17.00      39.00       0.00       8.00     112.00       0.00
    3      44.00      36.00       0.00     176.00     248.00       0.00
    4      22.00      16.00       0.00       0.00      52.00       0.00
    5      13.00       2.00       0.00      72.00     194.00       0.00
    6       8.00      12.00       0.00     103.00     181.00       0.00
    7      11.00      20.00       0.00      28.00      45.00       0.00
    8       3.00       4.00       0.00     122.00     191.00       0.00
    9      16.00      40.00       0.00      31.00     155.00       0.00
   10      22.00      24.00       0.00       0.00      80.00       0.00
   11      23.00      27.00       0.00       0.00      84.00       0.00
   12      28.00      43.00       0.00     163.00     276.00       0.00
   13       4.00       6.00       0.00      61.00     131.00       0.00
   14       9.00      30.00       0.00      30.00     117.00       0.00
   15       2.00       7.00       0.00      68.00     189.00       0.00
   16      36.00      20.00       0.00     108.00     184.00       0.00
   17       1.00      39.00       0.00      40.00     120.00       0.00
   18      37.00      28.00       0.00     277.00     331.00       0.00
   19       5.00       3.00       0.00     177.00     327.00       0.00
   20      23.00      41.00       0.00       0.00     118.00       0.00
   21      33.00      35.00       0.00     283.00     327.00       0.00
  999       0.00       0.00       0.00       0.00       0.00       0.00


!! n20w100.001    96.50 363


CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME


    1      13.00      43.00       0.00       0.00     405.00       0.00
    2      35.00      27.00       0.00       0.00     133.00       0.00
    3      21.00      34.00       0.00       0.00     117.00       0.00
    4      20.00       9.00       0.00     156.00     260.00       0.00
    5      35.00      31.00       0.00       0.00     158.00       0.00
    6      38.00      23.00       0.00       0.00      90.00       0.00
    7      28.00      20.00       0.00      69.00     153.00       0.00
    8       6.00       1.00       0.00     221.00     280.00       0.00
    9      31.00      29.00       0.00       0.00      83.00       0.00
   10      11.00      40.00       0.00       0.00      33.00       0.00
   11       9.00      28.00       0.00      14.00     124.00       0.00
   12      19.00      35.00       0.00       0.00      25.00       0.00
   13      37.00      14.00       0.00     198.00     330.00       0.00
   14       6.00       5.00       0.00     116.00     185.00       0.00
   15       2.00      37.00       0.00      81.00     182.00       0.00
   16      30.00      50.00       0.00      44.00     126.00       0.00
   17      31.00      37.00       0.00      31.00     156.00       0.00
   18      24.00       2.00       0.00     134.00     271.00       0.00
   19       8.00      22.00       0.00     147.00     213.00       0.00
   20      38.00      31.00       0.00     243.00     377.00       0.00
   21      48.00      24.00       0.00     270.00     358.00       0.00
