

!! n80w20.001    21.44 732


CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
   58      31.00      45.00       0.00     361.00     393.00       0.00
   59       8.00       9.00       0.00       3.00      23.00       0.00
   60      33.00      45.00       0.00     352.00     361.00       0.00
   61      25.00      13.00       0.00     228.00     255.00       0.00
   62      37.00       7.00       0.00     258.00     288.00       0.00
   63      23.00      12.00       0.00     250.00     275.00       0.00
   64      29.00       4.00       0.00     689.00     714.00       0.00
   65       2.00      18.00       0.00      51.00      80.00       0.00
   66      47.00      13.00       0.00     293.00     299.00       0.00
   67      19.00      36.00       0.00     121.00     137.00       0.00
   68      25.00      44.00       0.00     330.00     363.00       0.00
   69      31.00      45.00       0.00     337.00     356.00       0.00
   70       3.00       1.00       0.00     597.00     629.00       0.00
   71      47.00      14.00       0.00     474.00     497.00       0.00
   72       1.00      25.00       0.00     195.00     215.00       0.00
   73      36.00      38.00       0.00     366.00     398.00       0.00
   74      22.00      34.00       0.00     154.00     182.00       0.00
   75      14.00      40.00       0.00     103.00     136.00       0.00
   76       6.00      46.00       0.00     654.00     666.00       0.00
   77      22.00      25.00       0.00     169.00     205.00       0.00
   78       3.00      19.00       0.00      32.00      61.00       0.00
   79      37.00      46.00       0.00     388.00     399.00       0.00
   80       9.00      24.00       0.00      62.00      74.00       0.00
   81      10.00      36.00       0.00     664.00     671.00       0.00
  999       0.00       0.00       0.00       0.00       0.00       0.00


!! n80w20.002    19.91 805


CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME


    1      23.00      33.00       0.00       0.00     812.00       0.00
    2      25.00       7.00       0.00     116.00     142.00       0.00
    3       8.00      13.00       0.00      68.00      91.00       0.00
    4      10.00      21.00       0.00      59.00      76.00       0.00
    5      22.00      46.00       0.00     260.00     275.00       0.00
    6      14.00      24.00       0.00      53.00      79.00       0.00
    7      16.00       0.00       0.00     102.00     117.00       0.00
    8      26.00      19.00       0.00     218.00     229.00       0.00
    9      29.00       8.00       0.00     118.00     130.00       0.00
   10       9.00       3.00       0.00      92.00     116.00       0.00
   11      23.00      42.00       0.00     592.00     614.00       0.00
   12      17.00      38.00       0.00      24.00      48.00       0.00
   13      49.00       0.00       0.00     407.00     424.00       0.00
   14      12.00      20.00       0.00      55.00      84.00       0.00
   15       1.00      42.00       0.00     558.00     574.00       0.00
   16      35.00      41.00       0.00     283.00     294.00       0.00
   17       9.00      27.00       0.00      42.00      66.00       0.00
   18      49.00      37.00       0.00     305.00     310.00       0.00
   19       7.00      32.00       0.00      38.00      67.00       0.00
   20       5.00       2.00       0.00      81.00     109.00       0.00
   21      46.00      19.00       0.00     162.00     184.00       0.00
   22      10.00      29.00       0.00      35.00      61.00       0.00
   23      20.00      40.00       0.00      19.00      44.00       0.00
   24      35.00       6.00       0.00     140.00     169.00       0.00
   25      42.00      12.00       0.00     154.00     171.00       0.00
   26      44.00      14.00       0.00     383.00     413.00       0.00
   27      23.00      25.00       0.00     249.00     264.00       0.00
   28      36.00      20.00       0.00     222.00     248.00       0.00
   29       2.00      40.00       0.00     544.00     568.00       0.00
   30      36.00       8.00       0.00     139.00     171.00       0.00
   31      27.00      29.00       0.00       0.00      23.00       0.00
   32      16.00      35.00       0.00      16.00      39.00       0.00
   33      26.00       1.00       0.00     117.00     130.00       0.00
   34      36.00       6.00       0.00     397.00     427.00       0.00
   35      39.00      50.00       0.00     314.00     328.00       0.00
   36      37.00      20.00       0.00     187.00     207.00       0.00
   37      24.00      34.00       0.00       8.00      30.00       0.00
   38      29.00      14.00       0.00     205.00     224.00       0.00
   39      27.00      35.00       0.00       0.00       7.00       0.00
   40       2.00       5.00       0.00     511.00     530.00       0.00
   41      24.00      22.00       0.00     212.00     235.00       0.00
   42      50.00      22.00       0.00     163.00     199.00       0.00
   43      22.00      38.00       0.00     245.00     279.00       0.00
   44      42.00      22.00       0.00     182.00     203.00       0.00
   45      27.00      13.00       0.00     128.00     136.00       0.00
   46      36.00      25.00       0.00     349.00     367.00       0.00
   47      22.00       0.00       0.00     442.00     461.00       0.00
   48      47.00      21.00       0.00     353.00     369.00       0.00
   49       4.00       5.00       0.00      81.00     112.00       0.00
   50      37.00      27.00       0.00     219.00     240.00       0.00
   51      32.00      45.00       0.00     270.00     293.00       0.00
   52      37.00       5.00       0.00     148.00     162.00       0.00
   53      32.00       7.00       0.00     133.00     148.00       0.00
   54       3.00       8.00       0.00      89.00      95.00       0.00
   55       3.00      48.00       0.00     557.00     575.00       0.00
   56      30.00      29.00       0.00     233.00     260.00       0.00
   57      34.00       8.00       0.00     148.00     173.00       0.00
   58      24.00       9.00       0.00     136.00     145.00       0.00
   59      15.00      18.00       0.00      73.00      76.00       0.00
   60       2.00      26.00       0.00     481.00     505.00       0.00
   61       5.00      29.00       0.00     574.00     589.00       0.00
   62      18.00      39.00       0.00      28.00      41.00       0.00
   63      46.00       3.00       0.00     691.00     716.00       0.00
   64      44.00      40.00       0.00     293.00     302.00       0.00
   65      30.00      30.00       0.00       6.00      22.00       0.00
   66       1.00      48.00       0.00     616.00     649.00       0.00
   67      48.00      14.00       0.00     158.00     185.00       0.00
   68       8.00      41.00       0.00     550.00     572.00       0.00
   69       5.00      45.00       0.00     554.00     581.00       0.00
   70      10.00      20.00       0.00     490.00     510.00       0.00
   71       4.00      11.00       0.00     466.00     486.00       0.00
   72      47.00      45.00       0.00     305.00     330.00       0.00
   73      42.00      33.00       0.00     365.00     391.00       0.00
   74      16.00      35.00       0.00      22.00      50.00       0.00
   75      33.00      19.00       0.00     186.00     205.00       0.00
   76       5.00      19.00       0.00     479.00     483.00       0.00
   77      25.00      44.00       0.00     265.00     271.00       0.00
   78      35.00      48.00       0.00     780.00     793.00       0.00
   79      48.00       3.00       0.00     415.00     437.00       0.00
   80      47.00      37.00       0.00     335.00     348.00       0.00
   81       5.00      10.00       0.00     732.00     741.00       0.00
  999       0.00       0.00       0.00       0.00       0.00       0.00


!! n80w20.003    18.60 737


CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME


    1      10.00      16.00       0.00       0.00     748.00       0.00
    2      49.00      45.00       0.00     359.00     374.00       0.00
    3      31.00      32.00       0.00     103.00     107.00       0.00
    4      12.00      44.00       0.00      44.00      71.00       0.00
    5       4.00       1.00       0.00     231.00     261.00       0.00
    6       1.00       3.00       0.00     644.00     662.00       0.00
    7      14.00      39.00       0.00      54.00      59.00       0.00
    8      42.00      16.00       0.00     456.00     480.00       0.00
    9       7.00       6.00       0.00      14.00      24.00       0.00
   10      34.00      27.00       0.00     117.00     119.00       0.00
   11      10.00      34.00       0.00      45.00      68.00       0.00
   12      12.00      10.00       0.00       9.00      22.00       0.00
   13      30.00      39.00       0.00     328.00     347.00       0.00
   14      20.00      30.00       0.00      91.00     101.00       0.00
   15      27.00      40.00       0.00     301.00     329.00       0.00
   16      40.00      33.00       0.00     395.00     420.00       0.00
   17      37.00      37.00       0.00     337.00     350.00       0.00
   18      35.00      31.00       0.00     105.00     109.00       0.00
   19      47.00      49.00       0.00     351.00     381.00       0.00
   20      47.00      20.00       0.00     426.00     441.00       0.00
   21      37.00      30.00       0.00     101.00     114.00       0.00
   22      46.00      14.00       0.00     456.00     483.00       0.00
   23      45.00      30.00       0.00     441.00     466.00       0.00
   24      41.00       8.00       0.00     475.00     494.00       0.00
   25      25.00      28.00       0.00      93.00      98.00       0.00
   26      36.00      20.00       0.00     120.00     150.00       0.00
   27      47.00      40.00       0.00     349.00     365.00       0.00
   28      44.00      30.00       0.00     398.00     407.00       0.00
   29      13.00      28.00       0.00     273.00     281.00       0.00
   30      39.00      45.00       0.00     572.00     595.00       0.00
   31      36.00      24.00       0.00     109.00     131.00       0.00
   32      18.00      31.00       0.00     282.00     302.00       0.00
   33       9.00      38.00       0.00     534.00     549.00       0.00
   34      50.00      19.00       0.00     463.00     494.00       0.00
   35       2.00      16.00       0.00      24.00      28.00       0.00
   36      24.00      47.00       0.00     304.00     340.00       0.00
   37      33.00      17.00       0.00     124.00     144.00       0.00
   38      39.00      37.00       0.00     344.00     364.00       0.00
   39      30.00      19.00       0.00     412.00     426.00       0.00
   40      35.00       7.00       0.00     128.00     157.00       0.00
   41      36.00      39.00       0.00     337.00     343.00       0.00
   42      12.00      31.00       0.00      43.00      57.00       0.00
   43      38.00       2.00       0.00     148.00     173.00       0.00
   44      40.00       1.00       0.00     171.00     181.00       0.00
   45       3.00      22.00       0.00      33.00      37.00       0.00
   46       4.00      40.00       0.00      62.00      78.00       0.00
   47       9.00      12.00       0.00       0.00       9.00       0.00
   48      37.00      21.00       0.00     412.00     436.00       0.00
   49       8.00      31.00       0.00      29.00      57.00       0.00
   50      28.00       9.00       0.00     174.00     212.00       0.00
   51       9.00       9.00       0.00       5.00      27.00       0.00
   52      26.00      13.00       0.00     214.00     218.00       0.00
   53       6.00      38.00       0.00      64.00      87.00       0.00
   54       8.00      10.00       0.00     250.00     277.00       0.00
   55       6.00      18.00       0.00     520.00     529.00       0.00
   56      43.00       6.00       0.00     165.00     187.00       0.00
   57      24.00      15.00       0.00     188.00     204.00       0.00
   58      15.00      21.00       0.00     256.00     283.00       0.00
   59      35.00       0.00       0.00     150.00     169.00       0.00
   60      37.00       9.00       0.00     166.00     178.00       0.00
   61      41.00      37.00       0.00     386.00     394.00       0.00
   62      34.00      32.00       0.00      94.00     126.00       0.00
   63      46.00      41.00       0.00     356.00     377.00       0.00
   64      44.00      16.00       0.00     599.00     606.00       0.00
   65      20.00       7.00       0.00     193.00     211.00       0.00
   66      43.00      20.00       0.00     435.00     441.00       0.00
   67       5.00      11.00       0.00       9.00      34.00       0.00
   68      47.00      47.00       0.00     365.00     382.00       0.00
   69      21.00      48.00       0.00     688.00     714.00       0.00
   70      17.00      34.00       0.00      75.00      96.00       0.00
   71      38.00      40.00       0.00     340.00     357.00       0.00
   72      43.00      40.00       0.00     334.00     366.00       0.00
   73      20.00      13.00       0.00     185.00     209.00       0.00
   74      36.00      14.00       0.00     130.00     150.00       0.00
   75      12.00      17.00       0.00     255.00     274.00       0.00
   76      38.00      29.00       0.00     102.00     134.00       0.00
   77      14.00      18.00       0.00     276.00     304.00       0.00
   78      37.00       9.00       0.00     140.00     154.00       0.00
   79      21.00       2.00       0.00     218.00     237.00       0.00
   80      49.00      23.00       0.00     430.00     453.00       0.00
   81      24.00      40.00       0.00     683.00     706.00       0.00
  999       0.00       0.00       0.00       0.00       0.00       0.00


!! n80w20.004    19.65 698


CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME


    1      39.00      11.00       0.00       0.00     707.00       0.00
    2      13.00      14.00       0.00     322.00     338.00       0.00
    3      27.00       0.00       0.00     365.00     381.00       0.00
    4       3.00      11.00       0.00     239.00     259.00       0.00
    5      15.00      21.00       0.00     512.00     539.00       0.00
    6      37.00      46.00       0.00      99.00     126.00       0.00
    7      12.00      11.00       0.00     293.00     309.00       0.00
    8      32.00       5.00       0.00     360.00     384.00       0.00
    9      28.00      39.00       0.00      39.00      70.00       0.00
   10      47.00      37.00       0.00      80.00      90.00       0.00
   11      32.00      37.00       0.00      49.00      63.00       0.00
   12      21.00      42.00       0.00     163.00     180.00       0.00
   13      38.00      29.00       0.00      94.00     105.00       0.00
   14      43.00       7.00       0.00     633.00     648.00       0.00
   15      33.00      26.00       0.00      38.00      58.00       0.00
   16      10.00      18.00       0.00     232.00     246.00       0.00
   17      29.00      29.00       0.00      32.00      56.00       0.00
   18       3.00       7.00       0.00     264.00     282.00       0.00
   19       8.00       3.00       0.00     278.00     293.00       0.00
   20      12.00       6.00       0.00     288.00     293.00       0.00
   21      39.00      22.00       0.00      22.00      47.00       0.00
   22       3.00      22.00       0.00     203.00     235.00       0.00
   23      29.00      44.00       0.00      61.00      82.00       0.00
   24       7.00      49.00       0.00     152.00     157.00       0.00
   25      46.00      16.00       0.00       2.00      17.00       0.00
   26      25.00      41.00       0.00     128.00     144.00       0.00
   27      24.00      19.00       0.00     436.00     468.00       0.00
   28      23.00       9.00       0.00     336.00     365.00       0.00
   29      37.00       2.00       0.00     369.00     399.00       0.00
   30      14.00      49.00       0.00     136.00     151.00       0.00
   31       0.00      10.00       0.00     250.00     272.00       0.00
   32      11.00      45.00       0.00     150.00     186.00       0.00
   33      35.00      22.00       0.00     451.00     467.00       0.00
   34      25.00      31.00       0.00     661.00     683.00       0.00
   35      11.00      34.00       0.00     193.00     223.00       0.00
   36      16.00       6.00       0.00     290.00     319.00       0.00
   37       3.00      14.00       0.00     237.00     273.00       0.00
   38      12.00       3.00       0.00     271.00     299.00       0.00
   39      11.00       5.00       0.00     300.00     319.00       0.00
   40      42.00      40.00       0.00      67.00      93.00       0.00
   41       4.00      20.00       0.00     240.00     248.00       0.00
   42      19.00       7.00       0.00     311.00     339.00       0.00
   43      14.00      43.00       0.00     138.00     144.00       0.00
   44       8.00      25.00       0.00     215.00     237.00       0.00
   45       2.00      17.00       0.00     239.00     245.00       0.00
   46       7.00      24.00       0.00     217.00     243.00       0.00
   47      33.00      17.00       0.00     433.00     452.00       0.00
   48      49.00      21.00       0.00      15.00      32.00       0.00
   49       2.00      10.00       0.00     270.00     278.00       0.00
   50      27.00      10.00       0.00     349.00     364.00       0.00
   51      28.00       4.00       0.00     371.00     383.00       0.00
   52      15.00      33.00       0.00     184.00     199.00       0.00
   53      42.00       3.00       0.00     394.00     417.00       0.00
   54      38.00      46.00       0.00      67.00      90.00       0.00
   55      37.00       9.00       0.00     427.00     439.00       0.00
   56       4.00       2.00       0.00     525.00     545.00       0.00
   57      17.00      32.00       0.00     182.00     197.00       0.00
   58      14.00      10.00       0.00     283.00     311.00       0.00
   59      50.00      13.00       0.00     401.00     426.00       0.00
   60      49.00       5.00       0.00     398.00     421.00       0.00
   61      12.00      15.00       0.00     282.00     316.00       0.00
   62       6.00      16.00       0.00     220.00     253.00       0.00
   63      38.00      34.00       0.00      80.00     112.00       0.00
   64      42.00      36.00       0.00      99.00     116.00       0.00
   65      14.00      34.00       0.00     181.00     213.00       0.00
   66      33.00      23.00       0.00      36.00      47.00       0.00
   67      14.00      14.00       0.00     286.00     314.00       0.00
   68       7.00      42.00       0.00     148.00     169.00       0.00
   69      29.00      16.00       0.00     355.00     367.00       0.00
   70      27.00      13.00       0.00     339.00     355.00       0.00
   71      42.00      12.00       0.00       0.00      16.00       0.00
   72      10.00      39.00       0.00     496.00     507.00       0.00
   73      35.00      48.00       0.00      56.00      75.00       0.00
   74      19.00      32.00       0.00     189.00     214.00       0.00
   75      42.00      27.00       0.00       7.00      25.00       0.00
   76      19.00      40.00       0.00     126.00     144.00       0.00
   77      32.00       5.00       0.00     390.00     397.00       0.00
   78      19.00      14.00       0.00     324.00     331.00       0.00
   79      35.00      38.00       0.00     477.00     485.00       0.00
   80       6.00       7.00       0.00     262.00     287.00       0.00
   81      39.00      49.00       0.00     599.00     606.00       0.00
  999       0.00       0.00       0.00       0.00       0.00       0.00


!! n80w20.005    19.91 797


CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME


    1      41.00       9.00       0.00       0.00     815.00       0.00
    2      26.00      47.00       0.00     385.00     397.00       0.00
    3      13.00      22.00       0.00     202.00     219.00       0.00
    4      21.00      49.00       0.00     453.00     488.00       0.00
    5      40.00       4.00       0.00      18.00      28.00       0.00
    6      31.00      23.00       0.00      73.00      99.00       0.00
    7      45.00      39.00       0.00     121.00     134.00       0.00
    8       2.00      21.00       0.00     222.00     238.00       0.00
    9      32.00      34.00       0.00     519.00     527.00       0.00
   10      34.00       8.00       0.00      36.00      53.00       0.00
   11       5.00      39.00       0.00     299.00     321.00       0.00
   12      37.00      26.00       0.00     111.00     125.00       0.00
   13      45.00       2.00       0.00      13.00      22.00       0.00
   14      48.00      29.00       0.00     528.00     541.00       0.00
   15      46.00      11.00       0.00     546.00     573.00       0.00
   16       4.00      13.00       0.00     231.00     247.00       0.00
   17      43.00       5.00       0.00       7.00      12.00       0.00
   18      25.00      38.00       0.00     402.00     420.00       0.00
   19      23.00      13.00       0.00     188.00     199.00       0.00
   20       1.00      47.00       0.00     353.00     373.00       0.00
   21      40.00      35.00       0.00     125.00     138.00       0.00
   22      36.00      38.00       0.00     435.00     466.00       0.00
   23      39.00       2.00       0.00       0.00      26.00       0.00
   24      35.00      44.00       0.00     439.00     465.00       0.00
   25      11.00      48.00       0.00     683.00     705.00       0.00
   26       4.00      24.00       0.00     290.00     305.00       0.00
   27      24.00      47.00       0.00     379.00     409.00       0.00
   28      40.00      23.00       0.00      83.00     104.00       0.00
   29       1.00       6.00       0.00     221.00     252.00       0.00
   30      22.00      49.00       0.00     371.00     406.00       0.00
   31      10.00      46.00       0.00     353.00     372.00       0.00
   32      48.00      31.00       0.00     124.00     152.00       0.00
   33      15.00      33.00       0.00     265.00     301.00       0.00
   34      19.00       4.00       0.00     760.00     792.00       0.00
   35       5.00      24.00       0.00     209.00     231.00       0.00
   36       5.00      33.00       0.00     306.00     340.00       0.00
   37      17.00      47.00       0.00     357.00     391.00       0.00
   38      20.00      21.00       0.00     186.00     217.00       0.00
   39       3.00      39.00       0.00     328.00     353.00       0.00
   40      21.00      21.00       0.00      63.00      85.00       0.00
   41      12.00      48.00       0.00     356.00     372.00       0.00
   42       1.00      39.00       0.00     303.00     330.00       0.00
   43      44.00      19.00       0.00      98.00     110.00       0.00
   44      22.00      45.00       0.00     361.00     388.00       0.00
   45      29.00      41.00       0.00     383.00     410.00       0.00
   46      29.00      44.00       0.00     381.00     402.00       0.00
   47      14.00       6.00       0.00     240.00     264.00       0.00
   48      46.00       8.00       0.00      27.00      29.00       0.00
   49      40.00      14.00       0.00     141.00     166.00       0.00
   50      10.00      27.00       0.00     278.00     293.00       0.00
   51      43.00      25.00       0.00      91.00      99.00       0.00
   52      28.00      35.00       0.00     412.00     422.00       0.00
   53      29.00      42.00       0.00     405.00     417.00       0.00
   54      20.00       8.00       0.00     168.00     191.00       0.00
   55      38.00      22.00       0.00      97.00     118.00       0.00
   56      32.00       4.00       0.00     163.00     185.00       0.00
   57       4.00       6.00       0.00     631.00     656.00       0.00
   58      31.00      29.00       0.00     409.00     443.00       0.00
   59      23.00      16.00       0.00      61.00      73.00       0.00
   60      22.00       4.00       0.00     167.00     184.00       0.00
   61      49.00      38.00       0.00     572.00     584.00       0.00
   62      36.00      21.00       0.00      69.00      95.00       0.00
   63      10.00      27.00       0.00     211.00     225.00       0.00
   64      39.00       5.00       0.00       3.00       8.00       0.00
   65      25.00      23.00       0.00      57.00      78.00       0.00
   66      13.00      31.00       0.00     322.00     350.00       0.00
   67      19.00      17.00       0.00      63.00      82.00       0.00
   68       3.00      49.00       0.00     341.00     368.00       0.00
   69       8.00      28.00       0.00     213.00     232.00       0.00
   70      33.00      27.00       0.00     106.00     130.00       0.00
   71      47.00       1.00       0.00      33.00      51.00       0.00
   72      28.00      12.00       0.00      56.00      60.00       0.00
   73      29.00       1.00       0.00     623.00     634.00       0.00
   74      15.00      15.00       0.00     260.00     276.00       0.00
   75      20.00      26.00       0.00     264.00     289.00       0.00
   76      17.00      30.00       0.00     268.00     286.00       0.00
   77       3.00      33.00       0.00     305.00     319.00       0.00
   78      22.00      28.00       0.00     428.00     436.00       0.00
   79      47.00      25.00       0.00     128.00     159.00       0.00
   80       4.00      49.00       0.00     487.00     494.00       0.00
   81      48.00      40.00       0.00     719.00     743.00       0.00
  999       0.00       0.00       0.00       0.00       0.00       0.00


!! n80w40.001    38.66 744


CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME


    1      31.00      28.00       0.00       0.00     774.00       0.00
    2      24.00      25.00       0.00     305.00     330.00       0.00
    3       5.00      17.00       0.00     513.00     582.00       0.00
    4      42.00       3.00       0.00      90.00     149.00       0.00
    5      43.00      23.00       0.00      55.00      93.00       0.00
    6      30.00      32.00       0.00       0.00      12.00       0.00
    7      39.00      19.00       0.00      54.00      83.00       0.00
    8      30.00      30.00       0.00     316.00     339.00       0.00
    9      11.00       1.00       0.00     215.00     236.00       0.00
   10      40.00       8.00       0.00     103.00     114.00       0.00
   11      16.00      47.00       0.00     354.00     374.00       0.00
   12      13.00       2.00       0.00     650.00     696.00       0.00
   13       7.00      10.00       0.00     199.00     253.00       0.00
   14      36.00       9.00       0.00      93.00     133.00       0.00
   15      44.00       6.00       0.00      80.00     126.00       0.00
   16      16.00      31.00       0.00     268.00     325.00       0.00
   17      18.00      49.00       0.00     377.00     401.00       0.00
   18      40.00      34.00       0.00       6.00      59.00       0.00
   19      49.00      28.00       0.00     473.00     523.00       0.00
   20      48.00      30.00       0.00      63.00      74.00       0.00
   21      24.00      14.00       0.00     184.00     204.00       0.00
   22      15.00      34.00       0.00     253.00     306.00       0.00
   23      29.00      43.00       0.00     698.00     759.00       0.00
   24       3.00      43.00       0.00     572.00     603.00       0.00
   25      36.00      13.00       0.00      88.00      96.00       0.00
   26      11.00       9.00       0.00     204.00     245.00       0.00
   27      12.00      36.00       0.00     339.00     378.00       0.00
   28      50.00      41.00       0.00      34.00      72.00       0.00
   29      10.00      49.00       0.00     351.00     389.00       0.00
   30       6.00       8.00       0.00     189.00     255.00       0.00
   31      44.00       8.00       0.00      80.00     122.00       0.00
   32      25.00      38.00       0.00     403.00     440.00       0.00
   33      22.00      24.00       0.00     262.00     318.00       0.00
   34      40.00      12.00       0.00      93.00     110.00       0.00
   35      34.00      19.00       0.00      63.00     108.00       0.00
   36       7.00      29.00       0.00     249.00     298.00       0.00
   37      24.00       8.00       0.00     156.00     207.00       0.00
   38      42.00      20.00       0.00     449.00     505.00       0.00
   39      34.00      37.00       0.00       0.00      30.00       0.00
   40      49.00      39.00       0.00     447.00     460.00       0.00
   41       1.00      29.00       0.00     523.00     575.00       0.00
   42       6.00      17.00       0.00     259.00     294.00       0.00
   43      12.00      18.00       0.00     249.00     279.00       0.00
   44      40.00      50.00       0.00     407.00     468.00       0.00
   45      17.00      32.00       0.00     314.00     365.00       0.00
   46      50.00       7.00       0.00     102.00     162.00       0.00
   47      29.00      44.00       0.00     397.00     400.00       0.00
   48      20.00      38.00       0.00     332.00     369.00       0.00
   49       8.00       6.00       0.00     177.00     234.00       0.00
   50      29.00       9.00       0.00     160.00     212.00       0.00
   51      48.00      37.00       0.00      30.00      63.00       0.00
   52      40.00      39.00       0.00       2.00      36.00       0.00
   53      20.00      28.00       0.00     273.00     319.00       0.00
   54      39.00      31.00       0.00      37.00      91.00       0.00
   55      43.00      38.00       0.00      14.00      79.00       0.00
   56       4.00      18.00       0.00     244.00     296.00       0.00
   57      34.00      32.00       0.00       0.00      12.00       0.00
   58      10.00       4.00       0.00     168.00     220.00       0.00
   59       0.00       7.00       0.00     235.00     255.00       0.00
   60      19.00      28.00       0.00     286.00     324.00       0.00
   61      42.00      38.00       0.00       7.00      44.00       0.00
   62      50.00      43.00       0.00      39.00      53.00       0.00
   63      14.00      41.00       0.00     338.00     374.00       0.00
   64      30.00      18.00       0.00     472.00     512.00       0.00
   65      16.00       5.00       0.00     200.00     219.00       0.00
   66      26.00      18.00       0.00     516.00     536.00       0.00
   67      23.00      10.00       0.00     164.00     219.00       0.00
   68       0.00      19.00       0.00     585.00     613.00       0.00
   69      12.00       5.00       0.00     178.00     239.00       0.00
   70      45.00       2.00       0.00      93.00     171.00       0.00
   71      47.00      11.00       0.00     133.00     142.00       0.00
   72      37.00       1.00       0.00     155.00     186.00       0.00
   73      34.00       9.00       0.00     114.00     167.00       0.00
   74      22.00      34.00       0.00     322.00     354.00       0.00
   75      10.00      44.00       0.00     362.00     387.00       0.00
   76      11.00      44.00       0.00     334.00     386.00       0.00
   77      23.00      47.00       0.00     407.00     452.00       0.00
   78       2.00      47.00       0.00     613.00     653.00       0.00
   79      12.00       5.00       0.00     206.00     236.00       0.00
   80      17.00      29.00       0.00     263.00     295.00       0.00
   81       5.00      36.00       0.00     699.00     732.00       0.00
  999       0.00       0.00       0.00       0.00       0.00       0.00


!! n80w40.002    40.00 704


CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME


    1      39.00      40.00       0.00       0.00     717.00       0.00
    2      49.00      20.00       0.00     591.00     607.00       0.00
    3      10.00      13.00       0.00     451.00     477.00       0.00
    4      33.00      36.00       0.00       6.00      65.00       0.00
    5      44.00       6.00       0.00     232.00     286.00       0.00
    6      23.00       9.00       0.00     212.00     261.00       0.00
